id;nome;descricao;dt_cadastro
1;protocol Buckinghamshire;holistic web;2022-07-14T07:07:45
2;Versatile Kong;Wooden Reactive;2022-07-13T21:27:00
3;Creative;primary;2022-07-13T16:09:07
4;Principal blockchains;white;2022-07-13T21:57:48
5;Dynamic;Computer productize plug-and-play;2022-07-14T00:58:29
6;ADP;Chief Metal;2022-07-13T19:29:14
7;Tasty Accountability;Awesome Mouse;2022-07-14T14:51:22
8;Plastic;payment Jewelery Directives;2022-07-13T22:51:20
9;Naira Bedfordshire;Lithuania Cotton JSON;2022-07-13T15:49:18
10;open-source;Tools;2022-07-14T10:56:52
