id;mes;nome;descricao;valor;dt_vcto;dt_pgto;forma_pgto;responsavel;dt_cadastro
1;JUNHO;Rubber back-end transparent;synthesizing payment Buckinghamshire;66711;2022-07-13;2022-07-14;DINHEIRO;FADIA;2022-07-13T15:18:53
2;FEVEREIRO;reinvent Hat;Practical;6540;2022-07-14;2022-07-14;DEBITO_AUT;FADIA;2022-07-13T15:41:41
3;OUTUBRO;Awesome Equatorial;Namibia transmit;9462;2022-07-13;2022-07-13;DEBITO_AUT;WESLEY;2022-07-13T17:57:23
4;MARCO;Human;Garden;31759;2022-07-13;2022-07-14;DEBITO;WESLEY;2022-07-13T22:28:51
5;JULHO;Shirt;blue;1535;2022-07-14;2022-07-13;DINHEIRO;CASAL;2022-07-14T14:19:53
6;MAIO;time-frame Dong;Arizona;30190;2022-07-13;2022-07-13;DINHEIRO;FADIA;2022-07-14T12:26:13
7;AGOSTO;Optimization;FTP Sports Borders;95563;2022-07-14;2022-07-14;DINHEIRO;FADIA;2022-07-13T19:23:06
8;JANEIRO;AGP teal;Sports Table;94774;2022-07-14;2022-07-14;DEBITO;FADIA;2022-07-13T22:21:01
9;AGOSTO;Rustic Awesome Tasty;deposit;79249;2022-07-13;2022-07-14;DEBITO;FADIA;2022-07-14T14:08:44
10;AGOSTO;Soap Port payment;compress;80071;2022-07-14;2022-07-13;BOLETO;WESLEY;2022-07-13T21:36:45
