id;nome;descricao;dt_cadastro
1;Sudanese interface Shirt;Customer interactive online;2022-07-14T06:35:20
2;neural-net;connecting;2022-07-14T11:59:27
3;Shores;Principal;2022-07-14T06:42:03
4;SSL Baby;THX coherent Rustic;2022-07-14T09:34:04
5;Tasty Kansas;transmit;2022-07-13T23:55:29
6;transmitting indexing;optical PNG proactive;2022-07-13T21:30:49
7;mobile Handcrafted;Sri Monitored;2022-07-14T02:41:59
8;Car Intranet;Namibia;2022-07-14T12:21:52
9;Krona Flats;Cross-platform Engineer Account;2022-07-14T13:06:33
10;paradigms flexibility;Diverse Gabon;2022-07-14T03:01:48
